epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,38964.2,1.31713,0.70992,1.50797,0.87875,0.76627,0.78902,0.47121,1.32217,0.54793,1.56948,0.00851333,0.00851333,0.00851333
78,39470.4,1.31844,0.70875,1.50858,0.87814,0.76744,0.78924,0.47202,1.32031,0.54704,1.56795,0.00847611,0.00847611,0.00847611
79,39978.2,1.32437,0.70854,1.51868,0.87832,0.7676,0.78967,0.47228,1.31958,0.5462,1.56713,0.00843851,0.00843851,0.00843851
80,40486.1,1.31327,0.70788,1.50987,0.8795,0.76743,0.78987,0.47319,1.31822,0.54525,1.56613,0.00840054,0.00840054,0.00840054
81,40998.1,1.31211,0.70433,1.50879,0.87956,0.76841,0.79014,0.47394,1.31676,0.54464,1.56505,0.0083622,0.0083622,0.0083622
82,41508.6,1.32402,0.70939,1.5075,0.88072,0.76767,0.79059,0.47469,1.31516,0.54373,1.56345,0.00832349,0.00832349,0.00832349
83,42016,1.3118,0.70215,1.50605,0.88138,0.76761,0.7907,0.47501,1.31368,0.54269,1.56207,0.00828443,0.00828443,0.00828443
84,42519.1,1.32037,0.70561,1.51425,0.88142,0.76862,0.79158,0.47589,1.31178,0.54195,1.56044,0.00824502,0.00824502,0.00824502
85,552.697,1.3116,0.6999,1.50359,0.88177,0.76854,0.79169,0.47626,1.31017,0.54125,1.55913,0.00820525,0.00820525,0.00820525
86,1063.78,1.3162,0.7083,1.51147,0.88088,0.76934,0.79167,0.47726,1.30862,0.54037,1.55806,0.00816514,0.00816514,0.00816514
87,1571.76,1.31843,0.7062,1.51113,0.88174,0.76912,0.79171,0.47761,1.30692,0.53999,1.55686,0.00812468,0.00812468,0.00812468
88,2081.33,1.32086,0.70978,1.51454,0.88139,0.77037,0.79187,0.47789,1.30641,0.53958,1.5564,0.00808389,0.00808389,0.00808389
89,2591.12,1.31739,0.70588,1.51247,0.88087,0.77027,0.79175,0.47886,1.3053,0.53888,1.55573,0.00804277,0.00804277,0.00804277
90,3098.3,1.32273,0.70626,1.5175,0.88028,0.77137,0.79167,0.47818,1.30479,0.5385,1.55544,0.00800131,0.00800131,0.00800131
91,3611.26,1.31729,0.70799,1.50527,0.88034,0.77108,0.79194,0.47892,1.30404,0.538,1.55491,0.00795954,0.00795954,0.00795954
92,4124.17,1.31746,0.70397,1.50824,0.88057,0.77107,0.79248,0.4792,1.30294,0.53765,1.55404,0.00791744,0.00791744,0.00791744
93,4638.14,1.31633,0.70584,1.50542,0.88009,0.77122,0.79275,0.47987,1.30182,0.53717,1.55334,0.00787503,0.00787503,0.00787503
94,5147.22,1.31422,0.70339,1.50492,0.881,0.77094,0.79306,0.48055,1.30077,0.53695,1.55261,0.00783231,0.00783231,0.00783231
95,5653.48,1.31396,0.70425,1.5091,0.88141,0.77082,0.79314,0.48144,1.29992,0.53667,1.55236,0.00778929,0.00778929,0.00778929
96,6166.05,1.32156,0.71022,1.51363,0.88381,0.76881,0.79315,0.48159,1.29871,0.53642,1.55158,0.00774596,0.00774596,0.00774596
97,6676.81,1.31044,0.70004,1.5077,0.88362,0.7687,0.79257,0.48145,1.29758,0.5358,1.55081,0.00770234,0.00770234,0.00770234
98,7186.73,1.3154,0.70288,1.51582,0.88487,0.76848,0.7928,0.48187,1.29661,0.53556,1.55026,0.00765843,0.00765843,0.00765843
99,7697.33,1.30042,0.69541,1.49811,0.88476,0.76922,0.79286,0.4819,1.29568,0.53512,1.54953,0.00761423,0.00761423,0.00761423
100,8211.85,1.31334,0.69846,1.5081,0.88342,0.76966,0.79305,0.48217,1.2956,0.53481,1.54981,0.00756976,0.00756976,0.00756976
101,8725.66,1.30843,0.69845,1.50553,0.88296,0.77023,0.79319,0.48297,1.29441,0.53433,1.54922,0.007525,0.007525,0.007525
102,9240.44,1.31486,0.70026,1.50927,0.88257,0.7712,0.79335,0.48293,1.29338,0.53382,1.54839,0.00747997,0.00747997,0.00747997
103,9756.25,1.30683,0.69103,1.50576,0.8837,0.77011,0.79295,0.48312,1.29282,0.53348,1.54812,0.00743468,0.00743468,0.00743468
104,10274.5,1.30754,0.69065,1.50717,0.88521,0.76868,0.79409,0.48374,1.29212,0.533,1.54745,0.00738913,0.00738913,0.00738913
105,10788,1.30606,0.69451,1.5022,0.88572,0.76855,0.79417,0.48406,1.29225,0.53286,1.54716,0.00734332,0.00734332,0.00734332
106,11299.3,1.30185,0.68568,1.48838,0.88681,0.76823,0.79475,0.48414,1.29186,0.53252,1.5464,0.00729725,0.00729725,0.00729725
107,11815,1.30613,0.69049,1.4983,0.88786,0.76737,0.7954,0.48494,1.2912,0.53219,1.54562,0.00725094,0.00725094,0.00725094
108,12329.1,1.3073,0.69729,1.504,0.88732,0.76895,0.79543,0.48491,1.29095,0.5317,1.54533,0.00720439,0.00720439,0.00720439
109,12844.4,1.30169,0.69005,1.49384,0.88737,0.76903,0.79565,0.48529,1.29076,0.53124,1.54517,0.00715761,0.00715761,0.00715761
110,13359.4,1.30585,0.69282,1.49798,0.88659,0.77067,0.7956,0.48541,1.29032,0.53075,1.54471,0.00711059,0.00711059,0.00711059
111,13873.9,1.30581,0.68863,1.50699,0.88643,0.77075,0.7956,0.48576,1.28951,0.53043,1.54414,0.00706335,0.00706335,0.00706335
112,14394.6,1.30626,0.68586,1.49779,0.88771,0.77043,0.79628,0.48662,1.28904,0.5299,1.54377,0.00701588,0.00701588,0.00701588
113,14911.2,1.29653,0.68617,1.49038,0.88809,0.77083,0.79626,0.48647,1.28837,0.52948,1.5432,0.0069682,0.0069682,0.0069682
114,15430,1.30418,0.68305,1.49227,0.88938,0.77002,0.79658,0.48685,1.28799,0.52914,1.54269,0.00692031,0.00692031,0.00692031
115,15947.8,1.30073,0.68922,1.4921,0.88872,0.76974,0.79678,0.48741,1.28741,0.52868,1.54186,0.00687222,0.00687222,0.00687222
116,16466.9,1.30099,0.68492,1.49034,0.88912,0.76943,0.79651,0.48715,1.28771,0.52856,1.54175,0.00682392,0.00682392,0.00682392
117,16987.9,1.3022,0.68325,1.49226,0.88832,0.77056,0.79681,0.48793,1.28679,0.52807,1.54108,0.00677543,0.00677543,0.00677543
118,17509.7,1.31005,0.68752,1.49676,0.88713,0.77054,0.79662,0.48771,1.28675,0.52788,1.54078,0.00672675,0.00672675,0.00672675
119,18036.2,1.30417,0.68529,1.49632,0.88856,0.76976,0.79675,0.48809,1.28605,0.52752,1.54006,0.00667789,0.00667789,0.00667789
120,18560.1,1.30176,0.68264,1.49476,0.89028,0.76846,0.79711,0.48858,1.28513,0.52695,1.53925,0.00662885,0.00662885,0.00662885
121,19081.7,1.30089,0.68434,1.48735,0.88928,0.77014,0.79719,0.48856,1.28517,0.52629,1.53905,0.00657963,0.00657963,0.00657963
122,19604.2,1.2979,0.67791,1.48885,0.89009,0.76969,0.79683,0.48857,1.28521,0.52616,1.53871,0.00653025,0.00653025,0.00653025
123,20130.1,1.30051,0.68021,1.48721,0.89123,0.76876,0.79741,0.48866,1.2846,0.52562,1.53807,0.00648071,0.00648071,0.00648071
124,20656.6,1.29383,0.67728,1.48207,0.89166,0.76908,0.79774,0.48881,1.28422,0.52518,1.53758,0.00643101,0.00643101,0.00643101
125,21182.2,1.29639,0.6786,1.48908,0.89432,0.76663,0.79788,0.4896,1.28335,0.52494,1.53661,0.00638115,0.00638115,0.00638115
126,21701,1.29881,0.67793,1.49472,0.89388,0.76644,0.79749,0.4897,1.283,0.52459,1.53625,0.00633115,0.00633115,0.00633115
127,22223.3,1.29638,0.67877,1.49688,0.89419,0.76654,0.79779,0.48949,1.2823,0.52418,1.53582,0.00628101,0.00628101,0.00628101
128,22743.1,1.29899,0.67436,1.49309,0.89429,0.76699,0.79801,0.48995,1.28197,0.52362,1.53557,0.00623074,0.00623074,0.00623074
129,23263.9,1.29146,0.67025,1.48579,0.89579,0.76645,0.79836,0.49017,1.28158,0.52313,1.53502,0.00618034,0.00618034,0.00618034
130,23781.7,1.29274,0.67873,1.48687,0.89694,0.7668,0.79905,0.49028,1.28117,0.5226,1.53427,0.00612981,0.00612981,0.00612981
131,24302.2,1.29224,0.67207,1.49004,0.89705,0.76703,0.79949,0.49007,1.28126,0.52193,1.53421,0.00607916,0.00607916,0.00607916
132,24828.9,1.29115,0.67509,1.48523,0.89524,0.76931,0.79936,0.49007,1.28054,0.52159,1.53362,0.0060284,0.0060284,0.0060284
133,25346.3,1.28556,0.66662,1.47599,0.8959,0.76864,0.79898,0.49052,1.28046,0.52083,1.53335,0.00597754,0.00597754,0.00597754
134,25859.7,1.28932,0.6698,1.48012,0.89553,0.76942,0.79913,0.49068,1.28022,0.52029,1.5327,0.00592657,0.00592657,0.00592657
135,26379.6,1.28928,0.67187,1.4812,0.89532,0.76981,0.79954,0.49064,1.2805,0.52012,1.5328,0.00587551,0.00587551,0.00587551
